Z,Elemento,Simbolo,Massa Atômica,Densidade,PontoFusaoK,PontoEbulicaoK,Período,Grupo,Bloco,EstadoFisico,Raio Atômico (A),Eletronegatividade,NumIsotoposEstaveis,Energia_Ionização (eV)
64,Gadolínio,Gd,157.25,7.90,1586,3546,6,Lantanídeos,f,Sólido,2.34,1.20,5,6.150
65,Térbio,Tb,158.925,8.23,1632,3503,6,Lantanídeos,f,Sólido,2.33,1.20,1,5.864
66,Disprósio,Dy,162.500,8.55,1685,2840,6,Lantanídeos,f,Sólido,2.31,1.22,7,5.939
67,Hólmio,Ho,164.930,8.80,1745,2973,6,Lantanídeos,f,Sólido,2.30,1.23,1,6.022
68,Érbio,Er,167.259,9.07,1802,3141,6,Lantanídeos,f,Sólido,2.29,1.24,6,6.108
69,Túlio,Tm,168.934,9.32,1818,2223,6,Lantanídeos,f,Sólido,2.27,1.25,1,6.184
70,Itérbio,Yb,173.045,6.90,1097,1469,6,Lantanídeos,f,Sólido,2.26,1.10,7,6.254
71,Lutécio,Lu,174.967,9.84,1936,3675,6,Lantanídeos,f,Sólido,2.24,1.00,1,5.426
72,Háfnio,Hf,178.486,13.3,2506,4873,6,4,d,Sólido,2.23,1.30,5,6.825
73,Tântalo,Ta,180.948,16.4,3290,5728,6,5,d,Sólido,2.22,1.50,1,7.890
74,Tungstênio,W,183.84,19.3,3687,5828,6,6,d,Sólido,2.18,1.70,2,7.980
75,Rênio,Re,186.207,20.8,3458,5863,6,7,d,Sólido,2.16,1.90,1,7.880
76,Ósmio,Os,190.23,22.5872,3306,5281,6,8,d,Sólido,2.16,2.20,5,8.700
77,Irídio,Ir,192.217,22.5622,2719,4701,6,9,d,Sólido,2.13,2.20,2,9.100
78,Platina,Pt,195.084,21.5,2041.4,4098,6,10,d,Sólido,2.13,2.20,5,9.000
79,Ouro,Au,196.967,19.3,1337.33,3109,6,11,d,Sólido,2.14,2.40,1,9.226
80,Mercúrio,Hg,200.592,13.5336,234.321,629.769,6,12,d,Líquido,2.23,1.90,7,10.438
81,Tálio,Tl,204.38,11.8,577,1746,6,13,p,Sólido,1.96,1.80,2,6.108
82,Chumbo,Pb,207.2,11.3,600.612,2022,6,14,p,Sólido,2.02,1.80,3,7.417
83,Bismuto,Bi,208.980,9.79,544.556,1837,6,15,p,Sólido,2.07,1.90,0,7.289
84,Polônio,Po,209,9.20,527,1235,6,16,p,Sólido,1.97,2.00,0,8.417
85,Astato,At,210,6.35,573,623,6,17,p,Sólido,2.02,2.20,0,9.500
86,Radônio,Rn,222,0.009074,202,211.5,6,18,p,Gás,2.20,2.20,0,10.745
87,Frâncio,Fr,223,2.48,294,923,7,1,s,Sólido,3.48,0.70,0,3.900
88,Rádio,Ra,226,5,969,1773,7,2,s,Sólido,2.83,0.90,0,5.279
89,Actínio,Ac,227,10,1323,3473,7,Actinídeos,d,Sólido,2.47,1.10,0,5.170
90,Tório,Th,232.038,11.7,2023,5058,7,Actinídeos,f,Sólido,2.45,1.30,0,6.080
91,Protoactínio,Pa,231.036,15.4,1845,4273,7,Actinídeos,f,Sólido,2.43,1.50,0,5.890
